ADNI,level,G1,G2,G3,G12,G23,G13,G123,Other,p-value
Sample size,,74,39,7,65,13,13,43,35,
Survival time (mean (SD)),,963.45 (435.54),1136.72 (575.45),723.43 (367.80),540.92 (306.96),490.00 (196.37),502.92 (248.07),343.00 (152.03),2566.09 (851.70),<0.001
APOE4 (%),0 (no allele),4 (5.4),33 (84.6),5 (71.4),9 (13.8),13 (100.0),0 (0.0),15 (34.9),22 (62.9),<0.001
,1 (1 allele),52 (70.3),5 (12.8),1 (14.3),40 (61.5),0 (0.0),10 (76.9),25 (58.1),9 (25.7),
,2 (2 allele),18 (24.3),1 (2.6),1 (14.3),16 (24.6),0 (0.0),3 (23.1),3 (7.0),4 (11.4),
Gender (%),0 (Female),37 (50.0),13 (33.3),4 (57.1),20 (30.8),5 (38.5),8 (61.5),19 (44.2),11 (31.4),0.147
,1 (Male),37 (50.0),26 (66.7),3 (42.9),45 (69.2),8 (61.5),5 (38.5),24 (55.8),24 (68.6),
Educational Year (mean (SD)),,15.54 (2.62),17.15 (2.21),11.71 (3.77),16.57 (2.72),14.77 (1.96),13.54 (2.70),15.09 (2.85),15.91 (2.86),<0.001
Age (mean (SD)),,72.76 (6.61),73.22 (7.92),75.00 (7.82),72.10 (7.10),72.19 (9.37),71.25 (6.14),74.98 (6.59),74.64 (7.01),0.364
ADAS13 (mean (SD)),,17.76 (4.45),22.17 (6.60),21.81 (2.43),21.25 (5.80),24.33 (5.44),18.23 (4.06),25.10 (5.95),14.21 (4.89),<0.001
RAVLT_immediate (mean (SD)),,29.61 (6.53),30.28 (10.26),26.29 (11.84),29.14 (6.87),26.38 (5.38),26.08 (7.76),25.60 (6.57),36.20 (8.38),<0.001
RAVLT_learning (mean (SD)),,3.54 (2.42),2.95 (1.93),2.57 (2.15),3.29 (2.35),2.69 (1.44),2.62 (2.66),2.49 (2.16),4.91 (2.70),0.001
FAQ (mean (SD)),,4.74 (4.23),5.21 (3.87),1.71 (2.98),7.55 (5.55),3.92 (3.59),4.15 (3.58),5.88 (4.93),1.60 (2.03),<0.001
Hippocampus (mean (SD)),,5880.49 (875.28),7044.94 (1054.73),5983.86 (717.68),6375.14 (1017.64),6499.52 (1403.53),6302.54 (789.80),5820.43 (933.99),6809.63 (1007.18),<0.001
ICV (mean (SD)),,1489908.92 (146517.39),1625130.26 (156801.14),1578602.86 (249026.33),1561531.38 (179998.13),1655150.77 (188383.16),1510368.46 (202135.36),1538886.74 (169172.48),1560949.14 (164215.77),0.002
MidTemp (mean (SD)),,18376.81 (2350.65),20469.87 (2300.34),14982.86 (3008.76),19761.83 (2544.93),16880.15 (3518.18),15077.23 (2455.33),16664.74 (2163.69),20222.77 (2599.78),<0.001
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
